 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Unidade da Federação e Ano/mês atendimento
Período:Jan/2021-Mar/2023
"Unidade da Federação";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"2022/Ago";"2022/Set";"2022/Out";"2022/Nov";"2022/Dez";"2023/Jan";"2023/Fev";"2023/Mar";"Total"
"11 Rondônia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;373,65;-;-;-;-;35464,22;6944,80;244421,50;743157,21;2256717,29;5921606,85;10054596,96;10695095,99;18175680,97;17826050,20;17956568,35;15025855,02;13848801,07;11704112,73;10146161,50;10831883,26;11714235,30;12179179,10;12781082,28;11685187,60;9815970,19;9560032,16;9627711,03;9682221,68;9457550,52;9525352,64;10309106,47;10026702,19;9985842,99;9410725,96;8045243,46;4863760,09;3032281,78;307175677,01
"12 Acre";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;324,45;-;-;-;182725,28;-;120981,96;284131,35;463079,55;1296084,43;2781067,75;4175526,06;5282699,64;5713881,54;5218955,01;4671541,29;4237769,92;3756879,42;3613820,77;3285173,43;3396545,07;3708073,81;3274320,19;3448099,28;3434881,55;3612346,86;3431795,07;3439533,04;3419032,04;3657850,29;3829129,84;3529504,71;4001384,39;4002321,13;3840661,18;3498482,65;2701587,22;1439098,37;106749288,54
"13 Amazonas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;141,04;443,66;-;-;-;-;12558,41;22971,18;110591,95;1104740,04;7448506,53;16291194,32;27792843,89;25342271,56;26813658,84;24416500,77;23995302,64;22609998,75;23367088,66;20481899,02;18358457,36;19001263,20;18658547,33;18095878,94;19962975,25;17531442,60;20135623,77;18859622,50;21122856,65;19886874,84;20787524,93;21958050,33;20679714,71;20299999,42;19253093,31;17689466,06;15490897,85;11222335,54;5645081,67;564450417,52
"14 Roraima";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4823,95;103552,36;642989,93;1458197,48;3557821,99;4172285,82;5427226,70;4192540,54;3684756,77;3508760,16;3523628,56;3600006,56;3092674,99;3108587,91;3042618,65;3172132,20;3548553,64;3037529,55;3970321,96;3257248,48;4197999,67;4299053,65;4506497,75;4618378,13;4609968,26;4232692,17;4122290,46;3195900,69;2578550,90;1568001,56;900856,92;98936448,36
"15 Pará";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1313,32;871,56;-;407,88;-;13508,20;30602,26;148064,25;540037,71;3678849,15;10464267,78;25295728,63;39081232,41;37132226,28;49871333,67;52739833,20;52792065,76;49007416,51;45354581,45;44039401,85;42575519,53;43958387,49;44304676,89;45198760,82;44692563,82;41419106,90;45832018,14;44812287,59;48532889,29;46151084,85;45420963,34;46368495,45;45591087,07;45244002,87;45621746,09;44122574,18;42209378,51;29984979,08;16068265,48;1218300529,26
"16 Amapá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31712,65;36515,66;207650,10;1266635,16;2243635,39;2786277,13;2664375,13;3965219,90;5163966,21;5775751,69;5584106,36;4838664,55;3270848,94;2591304,85;2609596,55;2503056,50;2832172,53;3135685,24;2757771,34;2778694,28;2976824,72;3245290,79;2940850,68;3222395,54;3326920,56;2959936,34;3321503,57;3030856,29;2818142,55;2745251,43;2281122,61;2134890,10;92047625,34
"17 Tocantins";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;341,45;-;719,77;-;-;-;48532,09;68459,47;692582,85;2919353,25;4652778,48;7652367,31;8875575,15;9103606,62;10272625,02;9767218,78;11151583,51;13596258,09;12627250,89;10981256,29;9263474,64;7613940,44;8283907,79;8366723,85;9570713,96;7947694,14;8184748,37;7906308,99;8238652,95;7270832,76;7808687,04;7970113,58;8236514,48;9019681,35;7251437,53;4768434,87;3817752,41;1917886,46;264082,05;236112096,68
"21 Maranhão";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17296,06;-;-;-;-;-;-;-;-;30914,22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;216995,94;-;39661,65;-;7306,09;-;-;-;39661,65;-;-;-;30069,30;13767,26;-;39661,65;39661,65;-;39661,65;17594,27;79323,30;30069,30;39661,65;-;39711,35;39661,65;104372,76;-;-;39661,65;23459,02;78726,88;39661,65;-;-;-;98151,58;90655,20;8250,41;-;-;-;-;-;-;39661,65;-;-;-;-;-;-;-;-;71768,70;-;-;-;-;-;39986,55;945,91;-;-;15680,19;14840,18;47111,72;106014,46;807686,51;2902963,02;10154345,41;20991390,36;31276121,59;36052388,47;54725923,21;52316097,83;56197851,80;54725689,53;45106647,58;42885216,36;36568453,78;37425279,50;34848369,98;35395314,77;39130313,58;33764648,22;37889907,56;36517380,25;40674905,04;37853286,91;38236938,97;40900514,31;37344543,93;38575678,25;35576273,51;34817545,80;31964622,76;21004620,32;11552376,02;1069762922,28
"22 Piauí";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40755,05;-;-;-;-;-;-;-;-;-;-;-;-;40755,05;-;-;109839,82;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;52534,25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40755,05;-;-;-;24055,42;-;-;-;7256,38;-;11978,01;-;81510,10;-;-;-;-;10188,76;-;40755,05;-;-;-;-;-;-;-;-;-;-;35039,40;-;-;40755,05;41003,05;-;40755,05;-;-;-;-;-;9095,33;-;-;40755,05;-;-;-;-;8124,11;-;13936,49;92946,82;31968,07;-;-;80447,42;54160,76;67567,73;67567,73;-;67567,73;37244,65;-;-;946,40;67567,73;25873,49;23895,90;-;-;68553,40;781302,98;2564948,84;6067392,87;12405063,13;21846399,38;20422666,90;31726731,06;32594697,03;32894410,50;27558187,65;24148190,12;21206647,04;20893007,01;21795547,29;21477380,47;20553781,49;21976163,32;18831735,64;20527829,38;19568380,91;21584388,41;20099590,35;20510891,84;21328377,77;20100970,81;19743441,19;19456342,11;18137709,87;18117573,62;14941059,21;10816747,71;606053710,20
"23 Ceará";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;122265,15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14214,56;-;-;-;-;-;-;-;-;40755,05;-;-;-;17842,76;6411,46;-;-;-;-;-;-;-;-;-;40755,05;-;40755,05;-;239496,22;-;20805,65;23558,40;34442,99;-;-;54160,76;14115,16;-;-;-;5067,54;5715,64;22216,47;40755,05;56039,10;435010,85;1222533,52;3173769,38;11684442,47;26838484,93;41525178,46;57477041,80;60172645,47;96603264,91;101080791,15;104555652,57;85986819,82;69320560,98;59219102,88;56577134,66;56610207,46;56453458,93;57228792,70;60641393,17;54594600,05;63507548,61;61283274,19;65007408,80;60529669,88;58713076,10;64544658,14;62217674,63;61497795,52;59852682,86;55714269,14;53147865,13;35937006,95;20270178,53;1784423366,70
