 Óbitos infantis - Brasil
Óbitos p/Residênc por Município e Causas evitáveis - 0 a 4 anos
Período:1997
"Município";"1.1. Reduzível pelas ações de imunização";"1.2.1 Reduzíveis atenção à mulher na gestação";"1.2.2 Reduz por adequada atenção à mulher no parto";"1.2.3 Reduzíveis adequada atenção ao recém-nascido";"1.3. Reduz ações diagnóstico e tratamento adequado";"1.4. Reduz. ações promoção à saúde vinc. Aç. At";"2. Causas mal definidas";"3. Demais causas (não claramente evitáveis)";"Total"
" MUNICIPIO IGNORADO - RO";-;4;-;6;4;1;-;4;19
"110001 ALTA FLORESTA D'OESTE";-;4;1;3;1;1;-;4;14
"110002 ARIQUEMES";1;6;2;19;4;5;6;11;54
"110003 CABIXI";-;1;-;-;-;-;-;1;2
"110004 CACOAL";-;6;3;5;5;3;1;12;35
"110005 CEREJEIRAS";-;-;2;4;2;1;-;1;10
"110006 COLORADO DO OESTE";-;3;2;3;3;-;-;3;14
"110007 CORUMBIARA";-;-;-;1;-;-;-;1;2
"110008 COSTA MARQUES";-;4;-;2;-;2;1;2;11
"110009 ESPIGAO D'OESTE";-;-;3;2;1;1;1;3;11
"110010 GUAJARA-MIRIM";-;1;1;1;2;2;-;2;9
"110011 JARU";-;5;1;18;5;8;-;1;38
"110012 JI-PARANA";-;13;9;14;5;3;5;9;58
"110013 MACHADINHO D'OESTE";-;2;2;2;3;2;-;3;14
"110014 NOVA BRASILANDIA D'OESTE";-;1;2;-;-;-;1;-;4
"110015 OURO PRETO DO OESTE";1;1;2;7;3;1;4;3;22
"110018 PIMENTA BUENO";1;2;2;2;5;1;-;4;17
"110020 PORTO VELHO";1;45;18;57;34;27;13;42;237
"110025 PRESIDENTE MEDICI";-;3;2;3;-;2;1;6;17
"110026 RIO CRESPO";-;1;-;-;-;-;-;-;1
"110028 ROLIM DE MOURA";-;4;6;14;2;3;5;8;42
"110029 SANTA LUZIA D'OESTE";-;1;2;2;-;2;2;1;10
"110030 VILHENA";-;7;5;2;5;3;3;4;29
"110032 SAO MIGUEL DO GUAPORE";-;-;-;3;-;3;-;1;7
"110033 NOVA MAMORE";-;-;2;-;-;-;1;1;4
"110034 ALVORADA D'OESTE";-;3;2;5;2;2;1;3;18
"110037 ALTO ALEGRE DOS PARECIS";-;1;-;-;-;-;-;1;2
"110040 ALTO PARAISO";-;-;1;-;1;-;-;-;2
"110045 BURITIS";-;-;-;2;-;-;1;3;6
"110050 NOVO HORIZONTE DO OESTE";-;-;-;1;-;-;1;-;2
"110060 CACAULANDIA";-;-;-;-;-;-;-;-;-
"110070 CAMPO NOVO DE RONDONIA";-;-;-;1;1;2;-;1;5
"110080 CANDEIAS DO JAMARI";-;-;-;-;-;-;-;1;1
"110090 CASTANHEIRAS";-;-;1;-;-;-;-;-;1
"110092 CHUPINGUAIA";-;-;-;1;1;2;-;-;4
"110094 CUJUBIM";-;1;-;-;-;-;-;-;1
"110100 GOVERNADOR JORGE TEIXEIRA";-;-;1;1;1;2;-;-;5
"110110 ITAPUA DO OESTE";-;-;-;-;1;-;-;-;1
"110120 MINISTRO ANDREAZZA";-;-;-;2;-;-;-;-;2
"110130 MIRANTE DA SERRA";-;-;-;1;2;-;-;2;5
"110140 MONTE NEGRO";-;-;-;1;-;-;1;1;3
"110143 NOVA UNIAO";-;-;-;1;-;-;-;-;1
"110145 PARECIS";-;-;-;-;-;-;-;-;-
"110146 PIMENTEIRAS DO OESTE";-;-;-;-;-;-;-;-;-
"110147 PRIMAVERA DE RONDONIA";-;-;-;-;-;-;-;-;-
"110148 SAO FELIPE D'OESTE";-;1;-;2;-;-;-;1;4
"110149 SAO FRANCISCO DO GUAPORE";-;-;-;1;1;1;-;1;4
"110150 SERINGUEIRAS";-;2;-;-;-;-;-;2;4
"110155 TEIXEIROPOLIS";-;-;-;1;-;-;-;-;1
"110160 THEOBROMA";-;-;1;1;-;-;-;1;3
"110170 URUPA";-;-;-;2;-;2;-;1;5
"110175 VALE DO ANARI";-;1;1;-;-;1;-;-;3
"110180 VALE DO PARAISO";-;-;-;-;-;-;-;-;-
" MUNICIPIO IGNORADO - AC";-;-;-;-;-;-;-;-;-
"120001 ACRELANDIA";-;-;-;-;1;1;1;-;3
"120005 ASSIS BRASIL";1;-;-;-;-;-;-;-;1
"120010 BRASILEIA";-;2;2;2;1;3;5;-;15
"120013 BUJARI";-;-;-;-;-;-;-;-;-
"120017 CAPIXABA";-;-;-;-;-;-;-;-;-
"120020 CRUZEIRO DO SUL";-;1;6;11;4;6;36;5;69
"120025 EPITACIOLANDIA";-;-;1;-;-;-;7;-;8
"120030 FEIJO";1;3;-;3;-;6;8;3;24
"120032 JORDAO";-;-;-;-;-;-;-;-;-
"120033 MANCIO LIMA";-;-;-;-;-;-;-;-;-
"120034 MANOEL URBANO";-;-;-;-;-;-;-;-;-
"120035 MARECHAL THAUMATURGO";-;-;-;-;1;-;-;-;1
"120038 PLACIDO DE CASTRO";-;1;-;2;1;1;2;1;8
"120039 PORTO WALTER";-;-;-;-;-;-;2;-;2
"120040 RIO BRANCO";2;21;34;55;29;21;35;32;229
"120042 RODRIGUES ALVES";-;-;-;-;-;-;-;-;-
"120043 SANTA ROSA DO PURUS";-;-;-;-;-;-;-;-;-
"120045 SENADOR GUIOMARD";-;1;-;-;-;-;1;-;2
"120050 SENA MADUREIRA";-;2;-;2;7;5;2;3;21
"120060 TARAUACA";-;-;-;-;-;1;-;-;1
"120070 XAPURI";-;-;-;2;3;-;-;1;6
"120080 PORTO ACRE";-;-;-;-;-;-;-;-;-
" MUNICIPIO IGNORADO - AM";-;3;2;4;1;-;1;1;12
"130002 ALVARAES";-;-;-;-;-;-;-;1;1
"130006 AMATURA";-;-;-;-;-;-;-;-;-
"130008 ANAMA";-;-;-;-;-;-;-;-;-
"130010 ANORI";-;2;-;1;1;-;1;-;5
"130014 APUI";-;-;1;4;3;2;1;1;12
"130020 ATALAIA DO NORTE";-;-;-;-;-;-;-;-;-
"130030 AUTAZES";-;-;-;1;2;2;-;1;6
"130040 BARCELOS";-;-;-;1;-;-;-;1;2
"130050 BARREIRINHA";-;-;-;-;-;-;-;-;-
"130060 BENJAMIN CONSTANT";-;-;-;-;-;-;-;-;-
"130063 BERURI";-;-;-;1;-;1;-;1;3
"130068 BOA VISTA DO RAMOS";-;-;-;2;-;-;-;-;2
"130070 BOCA DO ACRE";-;-;-;-;1;-;-;1;2
"130080 BORBA";-;-;3;2;1;-;-;-;6
"130083 CAAPIRANGA";-;-;-;-;-;-;-;-;-
"130090 CANUTAMA";-;7;-;1;-;1;1;-;10
"130100 CARAUARI";-;1;-;9;2;11;2;4;29
"130110 CAREIRO";-;1;-;-;-;-;-;1;2
"130115 CAREIRO DA VARZEA";-;-;-;-;-;-;-;-;-
"130120 COARI";2;3;1;5;3;3;-;4;21
"130130 CODAJAS";-;2;-;-;1;-;3;3;9
